                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                      1,                      1,                      0,             0.00014994,             0.00014994,             0.00014994
                      2,                      0,                      1,                      1,                      0,              0.0003058,              0.0003058,              0.0003058
                      3,                      0,                      1,                      1,                      0,             0.00046042,             0.00046042,             0.00046042
                      4,                      0,                      1,                      1,                      0,              0.0006138,              0.0006138,              0.0006138
                      5,                      0,                      1,                      1,                      0,             0.00070269,             0.00070269,             0.00070269
                      6,                      0,                      1,                      1,                      0,             0.00070269,             0.00070269,             0.00070269
                      7,                      0,                      1,                      1,                      0,             0.00069986,             0.00069986,             0.00069986
                      8,                      0,                      1,                      1,                      0,             0.00069704,             0.00069704,             0.00069704
                      9,                      0,                      1,                      1,                      0,             0.00069421,             0.00069421,             0.00069421
                     10,                      0,                      1,                      1,                      0,             0.00069138,             0.00069138,             0.00069138
                     11,                      0,                      1,                      1,                      0,             0.00068855,             0.00068855,             0.00068855
                     12,                      0,                      1,                      1,                      0,             0.00068573,             0.00068573,             0.00068573
                     13,                      0,                      1,                      1,                      0,              0.0006829,              0.0006829,              0.0006829
                     14,                      0,                      1,                      1,                      0,             0.00068007,             0.00068007,             0.00068007
                     15,                      0,                      1,                      1,                      0,             0.00067724,             0.00067724,             0.00067724
                     16,                      0,                      1,                      1,                      0,             0.00067442,             0.00067442,             0.00067442
                     17,                      0,                      1,                      1,                      0,             0.00067159,             0.00067159,             0.00067159
                     18,                      0,                      1,                      1,                      0,             0.00066876,             0.00066876,             0.00066876
                     19,                      0,                      1,                      1,                      0,             0.00066593,             0.00066593,             0.00066593
                     20,                      0,                      1,                      1,                      0,             0.00066311,             0.00066311,             0.00066311
                     21,                      0,                      1,                      1,                      0,             0.00066028,             0.00066028,             0.00066028
                     22,                      0,                      1,                      1,                      0,             0.00065745,             0.00065745,             0.00065745
                     23,                      0,                      1,                      1,                      0,             0.00065462,             0.00065462,             0.00065462
                     24,                      0,                      1,                      1,                      0,              0.0006518,              0.0006518,              0.0006518
                     25,                      0,                      1,                      1,                      0,             0.00064897,             0.00064897,             0.00064897
                     26,                      0,                      1,                      1,                      0,             0.00064614,             0.00064614,             0.00064614
                     27,                      0,                      1,                      1,                      0,             0.00064331,             0.00064331,             0.00064331
                     28,                      0,                      1,                      1,                      0,             0.00064049,             0.00064049,             0.00064049
                     29,                      0,                      1,                      1,                      0,             0.00063766,             0.00063766,             0.00063766
                     30,                      0,                      1,                      1,                      0,             0.00063483,             0.00063483,             0.00063483
                     31,                      0,                      1,                      1,                      0,               0.000632,               0.000632,               0.000632
                     32,                      0,                      1,                      1,                      0,             0.00062918,             0.00062918,             0.00062918
                     33,                      0,                      1,                      1,                      0,             0.00062635,             0.00062635,             0.00062635
                     34,                      0,                      1,                      1,                      0,             0.00062352,             0.00062352,             0.00062352
                     35,                      0,                      1,                      1,                      0,             0.00062069,             0.00062069,             0.00062069
                     36,                      0,                      1,                      1,                      0,             0.00061787,             0.00061787,             0.00061787
