                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.647,                  3.269,                   2.15,                0.01388,                0.67667,                0.02981,                0.00881,                 2.6168,                 3.3056,                 2.1721,                0.00042,                0.00042,                0.00042
                      2,                 2.5252,                  2.701,                 1.9495,                0.01558,                0.76212,                0.04556,                0.01291,                 2.7475,                 2.9023,                  2.178,             0.00085659,             0.00085659,             0.00085659
                      3,                 2.5528,                 2.5598,                 1.8595,                0.14842,                0.10393,                0.05985,                0.01496,                 2.9731,                 3.0537,                 2.4164,              0.0012897,              0.0012897,              0.0012897
                      4,                 2.5766,                 2.5959,                 1.9286,                0.13699,                0.13164,                 0.0653,                0.01998,                 2.9434,                 2.8865,                  2.569,              0.0017193,              0.0017193,              0.0017193
                      5,                 2.4867,                 2.6319,                 1.9418,                0.09209,                0.07621,                0.04283,                0.01221,                 2.9824,                 3.0055,                 2.3641,              0.0019683,              0.0019683,              0.0019683
                      6,                 2.5094,                 2.5638,                  1.938,                0.06807,                0.17321,                0.04145,                0.01216,                 2.9239,                 2.9783,                 2.4185,              0.0019683,              0.0019683,              0.0019683
                      7,                 2.5133,                 2.5987,                 1.8898,                  0.049,                0.07621,                0.02931,                0.00879,                 2.7642,                 2.9999,                 2.2439,              0.0019604,              0.0019604,              0.0019604
                      8,                 2.5102,                 2.5469,                 1.8893,                0.08632,                0.14088,                 0.0455,                0.01331,                 2.7818,                 3.9596,                 2.3288,              0.0019525,              0.0019525,              0.0019525
                      9,                  2.495,                 2.5404,                 1.8787,                0.08575,                0.20323,                 0.0505,                0.01559,                 2.7363,                 3.2275,                 2.1022,              0.0019446,              0.0019446,              0.0019446
                     10,                 2.4271,                 2.5283,                 1.8774,                0.13122,                0.16628,                0.07565,                0.02198,                 2.7367,                 2.6553,                  2.221,              0.0019366,              0.0019366,              0.0019366
                     11,                 2.3938,                 2.4393,                   1.85,                0.11215,                0.14319,                0.06911,                0.02174,                 2.9052,                 2.7563,                 2.2592,              0.0019287,              0.0019287,              0.0019287
                     12,                 2.3984,                 2.4271,                 1.8222,                0.12069,                0.09469,                0.04446,                0.01303,                 2.9067,                 3.0066,                 2.1659,              0.0019208,              0.0019208,              0.0019208
