                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.37085,                      1,                      1,                0.35512,             0.00023434,             0.00023434,             0.00023434
                      2,                  0.112,                      1,                      1,                0.31868,             0.00047047,             0.00047047,             0.00047047
                      3,                0.07244,                0.99642,                      1,                 0.3167,             0.00070471,             0.00070471,             0.00070471
                      4,                0.05232,                      1,                      1,                0.31519,             0.00070552,             0.00070552,             0.00070552
                      5,                0.05056,                      1,                      1,                0.31413,             0.00070552,             0.00070552,             0.00070552
                      6,                0.05525,                      1,                      1,                0.31483,             0.00070269,             0.00070269,             0.00070269
                      7,                0.04751,                0.99642,                      1,                0.31733,             0.00069986,             0.00069986,             0.00069986
                      8,                0.04566,                      1,                      1,                0.31402,             0.00069704,             0.00069704,             0.00069704
                      9,                0.04148,                      1,                      1,                0.31367,             0.00069421,             0.00069421,             0.00069421
                     10,                0.03521,                      1,                      1,                0.31367,             0.00069138,             0.00069138,             0.00069138
                     11,                0.06726,                      1,                      1,                 0.3141,             0.00068855,             0.00068855,             0.00068855
                     12,                0.06374,                0.99283,                      1,                 0.3182,             0.00068573,             0.00068573,             0.00068573
                     13,                0.04037,                      1,                      1,                0.31421,              0.0006829,              0.0006829,              0.0006829
                     14,                0.02066,                0.99642,                      1,                0.31627,             0.00068007,             0.00068007,             0.00068007
                     15,                0.02412,                      1,                      1,                0.31459,             0.00067724,             0.00067724,             0.00067724
                     16,                0.05801,                      1,                      1,                 0.3141,             0.00067442,             0.00067442,             0.00067442
                     17,                0.00894,                      1,                      1,                 0.3135,             0.00067159,             0.00067159,             0.00067159
                     18,                0.02493,                      1,                      1,                0.31367,             0.00066876,             0.00066876,             0.00066876
                     19,                0.01878,                      1,                      1,                0.31369,             0.00066593,             0.00066593,             0.00066593
                     20,                0.04032,                0.99642,                      1,                0.31527,             0.00066311,             0.00066311,             0.00066311
                     21,                 0.0457,                      1,                      1,                0.31974,             0.00066028,             0.00066028,             0.00066028
                     22,                0.02845,                      1,                      1,                0.31399,             0.00065745,             0.00065745,             0.00065745
                     23,                0.00965,                      1,                      1,                0.31462,             0.00065462,             0.00065462,             0.00065462
                     24,                0.02062,                      1,                      1,                0.31331,              0.0006518,              0.0006518,              0.0006518
                     25,                 0.0231,                0.99642,                      1,                0.31643,             0.00064897,             0.00064897,             0.00064897
                     26,                0.01262,                      1,                      1,                0.31456,             0.00064614,             0.00064614,             0.00064614
                     27,                0.00719,                      1,                      1,                0.31443,             0.00064331,             0.00064331,             0.00064331
                     28,                0.00346,                      1,                      1,                 0.3135,             0.00064049,             0.00064049,             0.00064049
                     29,                0.01743,                      1,                      1,                0.31342,             0.00063766,             0.00063766,             0.00063766
                     30,                0.00613,                      1,                      1,                0.31348,             0.00063483,             0.00063483,             0.00063483
                     31,                0.01371,                      1,                      1,                 0.3135,               0.000632,               0.000632,               0.000632
                     32,                0.04363,                0.99642,                      1,                0.31901,             0.00062918,             0.00062918,             0.00062918
                     33,                0.02144,                      1,                      1,                0.31448,             0.00062635,             0.00062635,             0.00062635
